Source,Target,Weight20202
a041,a071,0.076
a0472,e43,0.0508
a0472,r6521,0.0564
a072,b451,0.0686
a0839,b258,0.0612
a280,s61451a,0.0616
a280,s61452a,0.0538
a280,s61551a,0.08
a310,e0865,0.057
a310,j470,0.0696
a310,j471,0.0697
a400,a483,0.0549
a403,b953,0.0515
a403,j13,0.1785
a4101,i330,0.1001
a4101,i76,0.0662
a4101,j15211,0.1014
a4101,t80211a,0.0677
a4101,t827xxa,0.0568
a4102,i2690,0.0612
a4102,i330,0.0767
a4102,i76,0.0628
a4102,j15212,0.1393
a4102,t80211a,0.0607
a411,t80211a,0.095
a4151,n10,0.0852
a4151,n12,0.0724
a4151,n136,0.0659
a4151,z1612,0.0782
a4151,z1624,0.0507
a4152,j151,0.1042
a4159,b961,0.0678
a4159,j150,0.0765
a4159,t80211a,0.057
a4181,i330,0.0596
a4181,t80211a,0.0558
a4181,z1621,0.0883
a4189,e1165,0.0521
a4189,e870,0.1039
a4189,e874,0.0714
a4189,e875,0.0521
a4189,g9341,0.0635
a4189,j1289,0.1892
a4189,j159,0.0508
a4189,j440,0.0695
a4189,j80,0.2004
a4189,j9601,0.0841
a4189,n170,0.083
a4189,r6520,0.0994
a4189,r6521,0.1797
a4189,t380x5a,0.0717
a4189,z515,0.0923
a4189,z66,0.0682
a419,b9620,0.0673
a419,d509,0.0532
a419,d62,0.065
a419,d638,0.0593
a419,d649,0.0907
a419,d696,0.0766
a419,e039,0.071
a419,e1122,0.0885
a419,e1165,0.0947
a419,e119,0.0662
a419,e43,0.083
a419,e46,0.0521
a419,e6601,0.0681
a419,e669,0.0592
a419,e7800,0.0563
a419,e785,0.073
a419,e8339,0.0613
a419,e8342,0.0839
a419,e860,0.1044
a419,e861,0.0533
a419,e870,0.0974
a419,e871,0.1315
a419,e872,0.184
a419,e875,0.0795
a419,e876,0.1138
a419,f0390,0.0608
a419,f17210,0.0763
a419,f329,0.064
a419,f419,0.0548
a419,g4733,0.0528
a419,g8929,0.0628
a419,g92,0.0609
a419,g9341,0.1698
a419,i10,0.0729
a419,i110,0.0682
a419,i129,0.0808
a419,i130,0.0657
a419,i2510,0.0728
a419,i480,0.0703
a419,i4891,0.0654
a419,i959,0.0517
a419,j189,0.1701
a419,j440,0.0714
a419,j449,0.055
a419,j690,0.1337
a419,j90,0.0747
a419,j9601,0.1286
a419,j9621,0.0759
a419,j9811,0.0596
a419,k219,0.0652
a419,l03115,0.0592
a419,l03116,0.0589
a419,n136,0.0581
a419,n170,0.1111
a419,n179,0.1401
a419,n186,0.0596
a419,n189,0.06
a419,n390,0.1562
a419,n400,0.0576
a419,r6520,0.1386
a419,r6521,0.2407
a419,z20828,0.1072
a419,z515,0.132
a419,z66,0.139
a419,z681,0.0527
a419,z7901,0.0766
a419,z7902,0.0538
a419,z794,0.0929
a419,z7982,0.074
a419,z7984,0.0731
a419,z79890,0.0643
a419,z79899,0.0849
a419,z8673,0.053
a419,z87891,0.0797
a419,z9049,0.0531
a419,z992,0.0554
a480,e1052,0.0545
a480,e1069,0.052
a480,e1152,0.1373
a480,e11628,0.0663
a480,i70261,0.0628
a480,l02611,0.0622
a480,l02612,0.0544
a480,l97419,0.054
a480,m726,0.099
a480,m86171,0.063
a480,m86172,0.0741
a481,b440,0.0708
a509,z202,0.0634
a528,o9812,0.1434
a530,o9812,0.2857
a539,o9812,0.2606
a5424,a5611,0.083
a5424,a5901,0.0569
a549,a568,0.0567
a549,a599,0.1099
a549,a749,0.2324
a549,o9822,0.3403
a562,o98313,0.1073
a562,o98319,0.1754
a568,o9822,0.0938
a568,o98313,0.0928
a568,o98319,0.1146
a568,o9832,0.1121
a5901,o98312,0.0544
a5901,o98313,0.0515
a599,a749,0.073
a599,o98313,0.1523
a599,o9832,0.0571
a599,o99333,0.0504
a6000,o9832,0.4238
a6004,o98312,0.0585
a6004,o9832,0.0575
a6009,o98313,0.0981
a6009,o9832,0.2736
a630,o98313,0.0521
a630,o9832,0.1242
a749,o9822,0.0825
a749,o9832,0.0949
a749,o9882,0.076
b001,b002,0.0587
b003,b004,0.1576
b003,h401190,0.0579
b009,o9852,0.3052
b0222,b028,0.0518
b081,k9049,0.0931
b181,o9842,0.1397
b182,f1120,0.0541
b182,f1123,0.1099
b182,f1510,0.0622
b182,f1520,0.0798
b182,f1523,0.0535
b182,f332,0.0547
b182,k7290,0.0643
b182,k7460,0.0973
b182,k766,0.0794
b182,z590,0.0845
b182,z720,0.0511
b1920,f1110,0.0646
b1920,f1120,0.0578
b1920,f1123,0.0558
b1920,f1510,0.0772
b1920,f1520,0.0569
b1920,k7290,0.0533
b1920,k7460,0.1
b1920,k766,0.0676
b1920,z590,0.0751
b20,b59,0.07
b258,b59,0.0566
b259,b59,0.0685
b259,d89813,0.0586
b259,t8611,0.0538
b259,t8641,0.0636
b3324,i400,0.1099
b341,b348,0.2429
b341,g40813,0.0544
b372,l22,0.0587
b372,l304,0.0602
b373,o9882,0.084
b377,t80211a,0.0772
b3789,k658,0.0558
b384,b387,0.1465
b384,g910,0.1022
b384,g914,0.0508
b384,t8501xa,0.0649
b387,g910,0.058
b440,b465,0.0736
b441,j168,0.054
b4481,e840,0.0964
b4481,e848,0.0518
b451,c469,0.0799
b451,t367x5a,0.0614
b49,j168,0.0701
b91,g8314,0.0649
b951,e11628,0.0544
b951,o9882,0.1882
b951,p002,0.0549
b951,p0089,0.1196
b952,b965,0.0577
b952,b9689,0.0579
b952,n136,0.0522
b952,r7881,0.0651
b952,z1621,0.1211
b953,b963,0.0719
b954,b966,0.0546
b954,r7881,0.055
b9561,e11621,0.0845
b9561,e11628,0.0673
b9561,e1169,0.0765
b9561,l03115,0.0569
b9561,l03116,0.0579
b9561,l97519,0.0584
b9561,l97529,0.0609
b9561,m86171,0.052
b9561,m869,0.073
b9561,r7881,0.1321
b9562,e11621,0.0643
b9562,e1169,0.0781
b9562,i96,0.0517
b9562,l03115,0.0602
b9562,l03116,0.0585
b9562,m869,0.0597
b9562,r7881,0.0905
b9562,z8614,0.0675
b957,r7881,0.1111
b957,t80211a,0.0509
b961,n136,0.0577
b961,n3000,0.0569
b961,n390,0.1008
b961,r7881,0.0536
b961,z1612,0.0571
b961,z1624,0.0639
b9620,f0390,0.059
b9620,g9341,0.0632
b9620,n10,0.0945
b9620,n12,0.066
b9620,n136,0.0754
b9620,n3000,0.0714
b9620,n390,0.2305
b9620,r7881,0.0695
b9620,z1612,0.0684
b9620,z1624,0.0864
b9620,z87440,0.0774
b964,g8250,0.0518
b964,l89154,0.0531
b964,z1624,0.069
b965,n319,0.0559
b965,t83511a,0.0622
b965,z1624,0.0615
b9681,k2950,0.1198
b9689,r7881,0.123
b9689,z1624,0.0522
b970,b9710,0.0518
b970,j218,0.0831
b9710,b9789,0.3621
b9710,g800,0.0575
b9710,h47619,0.0544
b9710,j050,0.0516
b9710,j069,0.0919
b9710,j218,0.1716
b9710,j4541,0.0538
b9789,j069,0.1464
b9789,j218,0.1386
b9789,j219,0.0642
b9789,z825,0.0614
c01,c109,0.1297
c01,c770,0.0771
c029,c049,0.0517
c029,c109,0.0726
c029,c770,0.0711
c049,c060,0.0553
c049,t86822,0.052
c060,c411,0.0553
c099,c770,0.1285
c169,k311,0.0519
c169,r180,0.0541
c170,c241,0.1203
c180,c182,0.0673
c180,c772,0.0542
c187,c772,0.0514
c189,c7800,0.0701
c189,c786,0.0579
c189,c787,0.0975
c189,c799,0.0588
c19,c787,0.0577
c20,c775,0.0509
c20,z933,0.0557
c220,i81,0.1346
c220,i8510,0.0762
c220,k652,0.0605
c220,k7290,0.0694
c220,k7469,0.0701
c220,k766,0.0635
c220,k767,0.0576
c221,i81,0.0524
c221,k8309,0.1155
c221,k831,0.0677
c221,r180,0.0595
c23,r530,0.0522
