Source,Target,Weight20192,Weight20201,Weight20202
m2141,m2142,0.4225,0.4706,0.6064
m216x1,m216x2,0.0769,,0.3475
m24541,m24542,0.5249,0.3822,0.4205
m24551,m24552,0.3908,0.375,0.6305
m24571,m24572,0.285,0.278,0.3589
m25541,m25542,0.4385,0.5393,0.3987
m4316,m48062,0.3495,0.3542,0.3297
m4622,m4642,0.3656,0.3615,0.3238
m4624,m4644,0.4104,0.4311,0.4984
m4626,m4646,0.4476,0.4308,0.4238
m4627,m4647,0.3123,0.4827,0.3993
m4712,m4722,0.2564,0.2425,0.3067
m4726,m5116,0.2695,0.3017,0.3246
m5001,m5011,0.1608,0.3064,0.3876
m50021,m50121,0.2781,0.3633,0.3871
m50023,m50123,0.3508,0.2332,0.3406
m5441,m5442,0.3704,0.3883,0.3359
m62561,m62562,0.6975,0.5432,0.8143
m79604,m79605,0.3064,0.3015,0.3156
n141,t508x5a,0.5817,0.5846,0.5846
n186,z992,0.8873,0.8831,0.8918
n401,r338,0.5856,0.6043,0.5903
n762,n764,0.3317,0.4215,0.3486
n896,o3463,0.2635,,0.3845
o00101,o081,0.0717,0.1871,0.3922
o2301,o98811,0.2857,,0.3125
o26893,z6741,0.3222,0.3519,0.336
o30043,z372,0.6956,0.7453,0.7386
o321xx2,z372,0.2958,0.2511,0.3128
o3403,q513,0.6619,0.6715,0.6442
o34211,z302,0.3042,0.2995,0.321
o364xx0,z371,0.6236,0.598,0.6177
o365931,o365932,0.2585,0.2881,0.3512
o480,z3a40,0.3305,0.37799999999999995,0.3995
o480,z3a41,0.4571,0.4591,0.4546
o6014x1,o6014x2,0.6626,0.6762,0.7976
o99011,o99281,0.2479,0.1967,0.3229
o99012,o99282,0.2589,0.3758,0.31
o99281,o99511,0.1214,0.2599,0.3163
o99281,o99611,0.2477,0.2669,0.322
o99281,z3a01,0.3214,0.2641,0.3233
o99321,o99331,0.4587,0.4098,0.3668
o99321,o99341,0.3159,0.2375,0.3626
o99322,o99332,0.4796,0.4943,0.4128
o99323,o99333,0.2974,0.3048,0.3808
o99324,o99334,0.2935,0.2808,0.3014
o99325,o99335,0.3875,0.3973,0.4336
o99834,z224,0.2872,0.1307,0.375
p0414,p961,0.23399999999999999,0.258,0.3447
