ID,Sex
008p,1
009p,1
010y,1
011y,0
013p,0
016p,1
020y,1
031y,0
033p,1
034p,1
035p,0
037w,0
038p,0
038r,0
040r,0
043p,0
043w,1
044p,1
046p,0
047p,1
048p,0
049y,0
050g,0
050y,1
052w,1
054w,0
055b,0
056b,1
058y,0
061y,0
062p,1
063p,1
064p,1
070y,1
082w,0
103w,0
