"Source","Target","Weight"
"e039","e8342",0.0729
"e039","e871",0.1456
"e039","e872",0.1122
"e039","e876",0.1457
"e039","f17210",0.0793
"e039","i10",0.2135
"e039","j159",0.0112
"e039","j449",0.1192
"e039","j90",0.0393
"e039","r000",0.0233
"e039","z79899",0.2112
"e039","z9049",0.0908
"e039","d62",0.0903
"e039","d649",0.1232
"e039","e119",0.1217
"e039","k922",0.0167
"e039","z23",0.0228
"e039","e860",0.1139
"e039","f0280",0.0286
"e039","g20",0.0262
"e039","g40909",0.0421
"e039","i2510",0.1988
"e039","i69351",0.0123
"e039","n179",0.1741
"e039","r05",0.0171
"e039","r569",0.0144
"e039","z20828",0.079
"e039","z955",0.0847
"e039","e440",0.0238
"e039","e538",0.0111
"e039","i2699",0.0155
"e039","j441",0.0646
"e039","n189",0.0658
"e039","z7901",0.1742
"e039","d500",0.0112
"e039","d61818",0.0229
"e039","e6601",0.0945
"e039","e8339",0.0341
"e039","g9341",0.0801
"e039","j1289",0.0274
"e039","j45909",0.0788
"e039","k567",0.0135
"e039","z6841",0.0415
"e039","z370",0.0338
"e039","z3a39",0.0171
"e039","e785",0.2548
"e039","f1290",0.0106
"e039","i252",0.0772
"e039","z880",0.0748
"e039","z881",0.0375
"e039","d631",0.0776
"e039","d72829",0.0478
"e039","g4733",0.1067
"e039","i248",0.0157
"e039","i255",0.0382
"e039","i4819",0.0155
"e039","i5023",0.0382
"e039","n183",0.1452
"e039","r739",0.0242
"e039","z950",0.0679
"e039","a419",0.0744
"e039","e870",0.0278
"e039","i69354",0.0151
"e039","j690",0.0397
"e039","j9601",0.1244
"e039","r1310",0.0448
"e039","r4701",0.0214
"e039","r6520",0.0204
"e039","z515",0.0605
"e039","z794",0.1405
"e039","z7982",0.1974
"e039","i4821",0.0113
"e039","i951",0.0232
"e039","m810",0.0644
"e039","z7951",0.0526
"e039","z79890",0.3185
"e039","e669",0.0994
"e039","e662",0.0125
"e039","i2720",0.0637
"e039","i472",0.0224
"e039","j9621",0.0609
"e039","z6842",0.0214
"e039","z8614",0.0177
"e039","z9981",0.08
"e039","d696",0.0581
"e039","j439",0.0232
"e039","k219",0.2139
"e039","z720",0.0108
"e039","z85118",0.011
"e039","z90710",0.0905
"e039","i480",0.1191
"e039","r0902",0.044
"e039","b9620",0.0416
"e039","e8809",0.011
"e039","i313",0.0116
"e039","j9811",0.0431
"e039","k529",0.0228
"e039","n136",0.0142
"e039","l03116",0.0273
"e039","i350",0.0289
"e039","z86718",0.0624
"e039","z8673",0.1036
"e039","i129",0.1272
"e039","i714",0.0131
"e039","r339",0.0349
"e039","e875",0.0713
"e039","e8770",0.0269
"e039","i120",0.0321
"e039","k5730",0.0167
"e039","k766",0.0149
"e039","n186",0.0592
"e039","r001",0.0319
"e039","z87891",0.2034
"e039","z992",0.0508
"e039","f319",0.041
"e039","f419",0.14
"e039","g4700",0.045
"e039","g8194",0.0114
"e039","g8929",0.114
"e039","i639",0.0163
"e039","z8619",0.0162
"e039","d630",0.0098
"e039","d6959",0.0178
"e039","i4820",0.0592
"e039","d539",0.0158
"e039","e46",0.024
"e039","i471",0.0215
"e039","i959",0.0641
"e039","r509",0.0217
"e039","r627",0.0186
"e039","r6510",0.0105
"e039","z66",0.1516
"e039","z681",0.0305
"e039","z9884",0.025
"e039","d509",0.0479
"e039","m069",0.0452
"e039","i872",0.0143
"e039","e1122",0.1463
"e039","i420",0.0106
"e039","i429",0.0317
"e039","j918",0.0121
"e039","z9119",0.0282
