Source,Target,Weight20192,Weight20201,Weight20202
a480,m726,0.1018,0.0814,0.099
a480,m86171,0.0609,0.0422,0.063
a483,m85852,0.0909,,
a483,n8311,0.062,,
a483,n8312,0.0728,,
a483,t192xxa,0.0951,,
a498,c049,0.05,,
a498,r402431,0.0525,,
a498,s0280xd,0.1131,,
a498,s20221a,0.062,,
a498,s272xxd,0.1025,,
a498,t796xxd,0.1025,,
a502,p364,0.0784,,
a509,z202,0.0612,0.0841,0.0634
a528,m868x5,0.0886,,
a528,o4102x0,0.0688,,
a528,o9812,0.0848,0.2325,0.1434
a528,z113,0.0727,,
a530,o9812,0.1613,0.2185,0.2857
a5401,a5402,0.0822,,
a5401,a6002,0.0951,,
a5401,f1519,0.0608,,
a5401,n910,0.0951,,
a5401,r369,0.075,,
a5401,s50812d,0.0822,,
a5401,t2027xa,0.0862,,
a5401,t23241a,0.0951,,
a5401,t23251a,0.1,,
a5401,t23252a,0.0784,,
a5401,t23261a,0.0525,,
a5401,t23262a,0.0564,,
a5401,t23272a,0.0822,,
a5402,a5602,0.2896,,
a5402,f1519,0.055999999999999994,,
a5402,l2389,0.0794,,
a5402,n766,0.0665,,
a5402,o9822,0.1085,,
a5424,a5611,0.1284,,0.083
a5424,i658,0.0822,,
a5424,l928,0.0642,,
a5424,n6452,0.0642,,
a5424,n915,0.0767,,
a5442,b948,0.0525,,
a549,a749,0.1122,0.1161,0.2324
a549,o9822,0.0818,0.2448,0.3403
a5600,o368120,0.0539,,
a5600,o9822,0.0509,,
a5600,o98312,0.068,,
a5600,r4589,0.0624,,
a5601,b399,0.0508,,
a5601,b451,0.0564,,
a5601,g970,0.0822,,
a5601,m71022,0.0822,,
a5602,a5611,0.0539,0.0479,
a5602,a5900,0.0552,,
a5602,a5901,0.0809,0.0277,
a5602,n738,0.0566,,
a5602,n766,0.0552,,
a5602,o98312,0.0606,0.0878,
a5611,a599,0.0589,,
a5611,n7091,0.0717,,
a5611,n738,0.0624,,
a5611,n8302,0.0571,0.0794,
a5611,o42012,0.0936,,
a5611,t8332xa,0.0555,,
a562,o98312,0.0754,,0.0304
a562,o98313,0.09699999999999999,0.0445,0.1073
a562,o98319,0.0961,0.0255,0.1754
a568,a599,0.0614,0.0305,0.0116
a568,o9822,0.1106,0.0202,0.0938
a568,o98313,0.078,0.1123,0.0928
a568,o98319,0.2002,0.1232,0.1146
a568,o9832,0.0885,0.0827,0.1121
a5901,o98312,0.0623,0.0295,0.0544
a599,o9832,0.054000000000000006,0.0425,0.0571
a6000,o98313,0.0773,0.0136,0.0312
a6000,o9832,0.4752,0.4706,0.4238
a6002,f1999,0.0897,,
a6002,r369,0.0728,,0.0494
a6002,t375x6a,0.0728,,
a6004,n766,0.0592,,
a6004,o9832,0.0641,0.0829,0.0575
a6009,o98313,0.0601,0.0127,0.0981
