"Source","Target","Weight"
"e1122","e6601",0.1273
"e1122","e7800",0.1195
"e1122","e785",0.2042
"e1122","e8770",0.073
"e1122","i120",0.2158
"e1122","i350",0.0326
"e1122","j439",0.018
"e1122","n186",0.3585
"e1122","n2581",0.0587
"e1122","r7989",0.0251
"e1122","z20828",0.1204
"e1122","z6842",0.038
"e1122","z7951",0.0476
"e1122","z90710",0.0482
"e1122","z992",0.3261
"e1122","e860",0.0912
"e1122","g20",0.0199
"e1122","g309",0.0152
"e1122","i129",0.4081
"e1122","n179",0.2672
"e1122","n189",0.2265
"e1122","r296",0.025
"e1122","z7982",0.2069
"e1122","z79899",0.1559
"e1122","f329",0.0933
"e1122","g8929",0.0715
"e1122","i10",0.0065
"e1122","k219",0.1198
"e1122","k766",0.022
"e1122","z87891",0.1505
"e1122","e039",0.1443
"e1122","i480",0.1257
"e1122","m069",0.0259
"e1122","r55",0.0253
"e1122","z7901",0.1517
"e1122","z79890",0.1023
"e1122","z79891",0.0285
"e1122","z86711",0.0327
"e1122","z9181",0.0264
"e1122","f419",0.0657
"e1122","i2510",0.2397
"e1122","z955",0.125
"e1122","f0390",0.0698
"e1122","g2581",0.0259
"e1122","m1990",0.0683
"e1122","n183",0.2357
"e1122","z515",0.0824
"e1122","z66",0.1283
"e1122","z8673",0.1113
"e1122","i639",0.0158
"e1122","z7902",0.1627
"e1122","z794",0.3803
"e1122","a419",0.0885
"e1122","b9689",0.017
"e1122","d649",0.0955
"e1122","d6959",0.0209
"e1122","e8339",0.0858
"e1122","e872",0.1895
"e1122","e876",0.0812
"e1122","g92",0.0403
"e1122","k760",0.0177
"e1122","d638",0.068
"e1122","e871",0.1643
"e1122","e875",0.2365
"e1122","g9341",0.1248
"e1122","i130",0.2878
"e1122","i21a1",0.0413
"e1122","j189",0.1019
"e1122","j9621",0.0773
"e1122","n390",0.1173
"e1122","r310",0.0125
"e1122","r4182",0.0298
"e1122","z7952",0.0359
"e1122","z9981",0.0772
"e1122","d509",0.0624
"e1122","d72829",0.0386
"e1122","e8809",0.0201
"e1122","f17210",0.0568
"e1122","k8020",0.0142
"e1122","r1310",0.0319
"e1122","e440",0.0231
"e1122","i495",0.0271
"e1122","i951",0.0238
"e1122","h9190",0.0392
"e1122","i4891",0.1029
"e1122","j449",0.1095
"e1122","j90",0.0565
"e1122","j9611",0.0294
"e1122","k5900",0.0545
"e1122","r531",0.0552
"e1122","f0280",0.0192
"e1122","f05",0.0162
"e1122","g4700",0.0252
"e1122","m545",0.0187
"e1122","u071",0.1051
"e1122","d696",0.0864
"e1122","g4733",0.1332
"e1122","i161",0.031
"e1122","i5031",0.0128
"e1122","n170",0.0976
"e1122","r001",0.0371
"e1122","r0602",0.0664
"e1122","r809",0.0141
"e1122","g4730",0.0301
"e1122","r4701",0.0145
"e1122","z8614",0.0221
"e1122","z8701",0.0133
"e1122","z8711",0.0126
"e1122","z87440",0.0178
"e1122","z96659",0.0144
"e1122","z7984",0.188
"e1122","e1142",0.1744
"e1122","e1151",0.1777
"e1122","e11621",0.0888
"e1122","e1169",0.0581
"e1122","e669",0.1025
"e1122","i255",0.0832
"e1122","i509",0.1042
"e1122","l97519",0.0288
"e1122","m868x7",0.0124
"e1122","z6834",0.0137
"e1122","i959",0.074
"e1122","n400",0.0944
"e1122","r791",0.0177
"e1122","z993",0.0157
"e1122","f1120",0.0228
"e1122","i69351",0.016
"e1122","r079",0.0303
