"Source","Target","Weight"
"a419","e872",0.2035
"a419","r6521",0.2447
"a528","o9812",0.2325
"a530","o9812",0.2185
"a549","o9822",0.2448
"a6000","o9832",0.4706
"b009","o9852",0.4493
"b9620","n390",0.2384
"b9710","b9789",0.3404
"b9710","j218",0.2236
"c3481","c3482",0.2383
"c3490","c7931",0.2003
"c561","c562",0.4079
"c6921","c6922",0.6364
"c7490","c7952",0.2046
"c7800","c787",0.2019
"c7801","c7802",0.6745
"c786","r180",0.262
"c787","c7951",0.2423
"c7901","c7902",0.3786
"c7951","g893",0.227
"c7961","c7962",0.5854
"c7971","c7972",0.4833
"c7a012","c7b09",0.2998
"c7a090","c7b02",0.2253
"c7a1","c7b8",0.2482
"c7a8","c7b8",0.3634
"c8350","d4709",0.2524
"d122","d123",0.2644
"d122","d125",0.2292
"d123","d125",0.2544
"d252","o3413",0.2154
"d259","o3413",0.3688
"d5740","t82868d",0.2
"d61810","r5081",0.3013
"d61810","t451x5a",0.4138
"d631","e1122",0.3867
"d631","e875",0.2521
"d631","i120",0.3662
"d631","i132",0.2457
"d631","n186",0.5841
"d631","z992",0.547
"d6481","t451x5a",0.2901
"d6481","z5111",0.2478
"d6832","t45515a",0.3213
"d684","k7031",0.2719
"d684","k766",0.2539
"d709","r5081",0.4201
"d89811","t865",0.4479
"d89813","t865",0.4089
"e038","e230",0.2253
"e039","e785",0.2548
"e039","i10",0.2135
"e039","k219",0.2139
"e039","z79890",0.3185
"e039","z79899",0.2112
"e039","z87891",0.2034
"e0580","t381x5a",0.2354
"e0865","e840",0.2083
"e0865","e848",0.2929
"e089","e848",0.2213
"e1022","e10319",0.2344
"e1022","e1042",0.2399
"e1022","e1043",0.2457
"e1022","e1065",0.302
"e1043","k3184",0.2676
"e10621","e1069",0.304
"e10649","e1065",0.2212
"e109","o2402",0.2236
"e1122","e1165",0.2653
"e1122","e785",0.2085
"e1122","e875",0.2304
"e1122","i120",0.2033
"e1122","i129",0.3896
"e1122","i130",0.3073
"e1122","i2510",0.2433
"e1122","n179",0.2842
"e1122","n183",0.4214
"e1122","n186",0.3544
"e1122","n189",0.2227
"e1122","z794",0.3887
"e1122","z7982",0.2072
"e1122","z992",0.3168
"e1139","h42",0.4554
"e1142","e11621",0.2138
"e1143","k3184",0.5104
"e1152","e11621",0.2221
"e1152","e1169",0.2123
"e1152","i96",0.2865
"e11621","e1169",0.3728
"e11621","l97519",0.3675
"e11621","l97529",0.3408
"e1165","z794",0.3452
"e1165","z7984",0.2428
"e1169","l97519",0.206
"e1169","m868x7",0.2117
"e1169","m869",0.2863
"e119","i10",0.2174
"e119","z794",0.2002
"e119","z7984",0.3999
"e139","e891",0.2263
"e230","e232",0.3174
"e43","z681",0.4049
"e509","e560",0.3644
"e509","e60",0.3761
"e509","q442",0.2695
"e60","k745",0.2123
"e60","q442",0.3583
"e6601","g4733",0.2637
"e6601","z6841",0.344
"e6601","z6842",0.2041
"e662","j9622",0.2059
"e673","t452x5a",0.2209
"e785","i10",0.4249
"e785","i2510",0.3955
"e785","k219",0.287
"e785","n179",0.2413
"e785","z7901",0.2188
"e785","z794",0.221
"e785","z7982",0.371
"e785","z79899",0.3623
"e785","z87891",0.3342
"e8342","e876",0.2683
"e8359","n29",0.278
"e840","e848",0.4378
"e854","i43",0.3074
"e854","i680",0.4963
"e860","e871",0.2108
"e860","e872",0.2135
"e860","e876",0.2096
"e860","n179",0.255
"e871","e872",0.2297
"e871","e876",0.2464
"e871","n179",0.2304
"e872","j9601",0.227
"e872","n179",0.2894
"e875","n186",0.2789
"e875","z992",0.2628
"e876","i10",0.2
"e890","z85850",0.3071
"e891","z90410",0.2803
"f0280","g20",0.2308
"f0280","g309",0.7132
"f070","s065x0s",0.2313
"f070","s066x0s",0.2508
"f1120","g894",0.208
"f1123","f1520",0.2009
"f1123","f332",0.2985
"f1210","f1510",0.2039
"f12229","f15229",0.2084
"f1510","z590",0.2252
"f1520","z560",0.2027
"f17213","z13228",0.2678
"f17213","z139",0.2372
"f3289","r6889",0.254
"f329","f419",0.3472
"f329","k219",0.2038
"f332","r45851",0.2682
"f332","z62810",0.2091
"f332","z915",0.2658
"f3481","f902",0.2336
