"Source","Target","Weight"
"a419","e872",0.2059
"a419","r6521",0.2531
"a528","o9812",0.24
"a6000","o9832",0.4222
"b009","o9852",0.4627
"b9620","n390",0.2339
"c3490","c7931",0.2184
"c50811","c50812",0.2301
"c561","c562",0.3207
"c7800","c787",0.2275
"c7801","c7802",0.6783
"c786","r180",0.2585
"c787","c7951",0.2666
"c7901","c7902",0.3743
"c7951","g893",0.2365
"c7961","c7962",0.7193
"c7971","c7972",0.5261
"c7a1","c7b8",0.2284
"c7b02","c7b09",0.2321
"c8400","c84a0",0.2281
"d122","d123",0.2213
"d123","d124",0.2089
"d151","q851",0.2121
"d239","q130",0.2249
"d251","d252",0.2529
"d252","o3413",0.2191
"d259","o3413",0.2717
"d3501","d3502",0.2147
"d61810","r5081",0.3369
"d61810","t451x5a",0.4427
"d631","e1122",0.33
"d631","e875",0.231
"d631","i120",0.4171
"d631","i132",0.2457
"d631","n186",0.5863
"d631","z992",0.5586
"d6481","t451x5a",0.2467
"d6481","z5111",0.2238
"d6832","t45515a",0.3011
"d684","k7031",0.2735
"d684","k7290",0.2109
"d684","k766",0.2665
"d709","r5081",0.4332
"d821","q9381",0.2192
"d89810","t865",0.317
"d89811","t865",0.4159
"d89813","t865",0.2202
"e039","e785",0.2563
"e039","i10",0.2205
"e039","i2510",0.2018
"e039","k219",0.2223
"e0580","t381x5a",0.2726
"e0865","e840",0.2022
"e0865","e848",0.2598
"e089","e840",0.2383
"e089","e848",0.3394
"e1021","e1022",0.3331
"e1021","e10319",0.3257
"e1022","e10319",0.2682
"e1022","e1040",0.2155
"e1022","e1042",0.215
"e1022","e1043",0.214
"e1022","e10649",0.2471
"e1022","e1065",0.3118
"e10319","e1040",0.2482
"e1042","e10621",0.2181
"e1043","k3184",0.2767
"e10621","e1069",0.3034
"e1122","e1165",0.2621
"e1122","e875",0.2192
"e1122","i120",0.2113
"e1122","i129",0.3907
"e1122","i130",0.3064
"e1122","i2510",0.2298
"e1122","n179",0.2814
"e1122","n183",0.4023
"e1122","n186",0.3522
"e1122","n189",0.2485
"e1122","z794",0.3697
"e1122","z992",0.3151
"e1143","k3184",0.5022
"e1152","i96",0.33
"e11621","e1169",0.3457
"e11621","l97519",0.3739
"e11621","l97529",0.3479
"e11622","l97919",0.2086
"e11622","l97929",0.222
"e1165","z794",0.3468
"e1165","z7984",0.2213
"e1169","l97519",0.2041
"e1169","m869",0.3208
"e119","i10",0.2281
"e119","z7984",0.3953
"e1365","e891",0.2542
"e139","e891",0.4357
"e230","e232",0.2263
"e43","z681",0.3833
"e6601","g4733",0.2735
"e6601","z6841",0.3709
"e6601","z6842",0.2326
"e785","i10",0.4222
"e785","i2510",0.4028
"e785","k219",0.2895
"e785","n179",0.2115
"e785","z7982",0.354
"e785","z79899",0.2791
"e785","z87891",0.3168
"e8342","e876",0.2595
"e8359","n29",0.38
"e840","e848",0.5273
"e840","k8681",0.2515
"e848","k8681",0.3149
"e854","i43",0.3447
"e854","i680",0.4511
"e860","e871",0.2131
"e860","e872",0.2115
"e860","e876",0.2246
"e860","n179",0.2716
"e871","e876",0.2267
"e871","n179",0.2092
"e872","j9601",0.2232
"e872","n179",0.2674
"e875","n186",0.2671
"e875","z992",0.2488
"e890","z85850",0.3108
"e891","z90410",0.3029
"f0151","z9183",0.2032
"f0280","g309",0.7659
"f1120","g894",0.224
"f1123","f1520",0.2287
"f1123","f332",0.2267
"f1210","f1510",0.2025
"f1924","f19280",0.2371
"f3289","r52",0.2503
"f3289","z13228",0.4104
"f329","f419",0.3645
"f329","k219",0.2136
"f332","r45851",0.2636
"f332","z915",0.2674
"f604","f6081",0.2737
"f810","f812",0.4405
"f88","g800",0.3086
"g061","m4626",0.2292
"g40822","q851",0.2141
"g4440","t463x5a",0.2605
"g546","z4781",0.3176
"g5632","m21332",0.2498
"g800","m4140",0.2123
"g8191","r29810",0.2035
"g8191","r4701",0.2676
"g8194","i639",0.2173
"g8194","r29810",0.2519
"g8220","n319",0.2962
