"Source","Target","Weight"
"a082","c8440",0.2794
"a4189","j80",0.2398
"a419","r6521",0.2482
"a530","o9812",0.2026
"a539","o9812",0.238
"a5424","a5611",0.2386
"a549","o9822",0.2716
"a6000","o9832",0.415
"a6009","o9832",0.3199
"b009","o9852",0.2727
"b9620","n390",0.2207
"b9710","b9789",0.4234
"b9710","j218",0.2269
"b9789","j069",0.211
"c119","h9012",0.2236
"c561","c562",0.3902
"c609","i318",0.2301
"c609","n4821",0.2221
"c7800","c787",0.2258
"c7801","c7802",0.6898
"c786","r180",0.2746
"c787","c7951",0.2614
"c7951","g893",0.2378
"c7961","c7962",0.4185
"c7971","c7972",0.5368
"c7a8","c7b8",0.3381
"c7b02","c7b03",0.2766
"c7b02","c7b04",0.2305
"c7b02","c7b09",0.2166
"c7b03","c7b04",0.2
"c7b03","c7b09",0.3138
"c8332","z7689",0.2432
"d122","d123",0.2337
"d132","d135",0.2161
"d251","d252",0.2035
"d252","o3413",0.2785
"d259","o3413",0.3032
"d333","h9041",0.2501
"d61810","d709",0.225
"d61810","r5081",0.352
"d61810","t451x5a",0.4591
"d631","e1122",0.386
"d631","e875",0.2411
"d631","i120",0.3761
"d631","i132",0.2256
"d631","n186",0.5847
"d631","z992",0.545
"d6481","t451x5a",0.2642
"d6481","z5111",0.2597
"d6832","t45515a",0.4065
"d684","k7031",0.2737
"d684","k766",0.2527
"d6959","k766",0.2096
"d709","r5081",0.5097
"d821","q9381",0.4955
"d84821","t451x5a",0.2201
"d89810","t865",0.2664
"d89811","t8609",0.2631
"d89811","t865",0.3102
"d89813","t865",0.4188
"e039","e785",0.2513
"e039","i10",0.2065
"e039","k219",0.2062
"e039","z79890",0.4463
"e039","z79899",0.2077
"e0580","t381x5a",0.2203
"e0865","e848",0.2907
"e089","e848",0.2732
"e1022","e10319",0.2294
"e1022","e1040",0.2048
"e1022","e1042",0.2436
"e1022","e1043",0.2335
"e1022","e10649",0.2199
"e1022","e1065",0.2882
"e1042","e10621",0.2537
"e1043","k3184",0.2729
"e1052","e1069",0.2197
"e10621","e10628",0.2386
"e10621","e1069",0.4337
"e1122","e1165",0.2666
"e1122","e785",0.205
"e1122","e875",0.2303
"e1122","i120",0.2056
"e1122","i129",0.3981
"e1122","i130",0.2949
"e1122","i2510",0.238
"e1122","n179",0.2771
"e1122","n1830",0.3635
"e1122","n186",0.3516
"e1122","n189",0.2261
"e1122","z794",0.382
"e1122","z7982",0.2094
"e1122","z992",0.315
"e1139","h42",0.3906
"e1142","e11621",0.2241
"e1143","k3184",0.539
"e1152","e11621",0.2348
"e1152","e1169",0.2213
"e1152","i96",0.2799
"e11621","e11628",0.2348
"e11621","e1169",0.3822
"e11621","l97519",0.3589
"e11621","l97529",0.3494
"e1165","z794",0.3539
"e1165","z7984",0.2394
"e1169","m868x7",0.2198
"e1169","m869",0.2755
"e119","i10",0.2161
"e119","z7984",0.3932
"e1322","e1365",0.3829
"e139","e891",0.225
"e230","e232",0.2862
"e43","z681",0.3991
"e6601","g4733",0.2573
"e6601","z6841",0.3445
"e6601","z6842",0.2035
"e662","j9622",0.2465
"e673","t452x5a",0.2425
"e785","i10",0.4347
"e785","i2510",0.3855
"e785","j9601",0.2028
"e785","k219",0.2741
"e785","n179",0.2508
"e785","z20822",0.3069
"e785","z7901",0.2328
"e785","z794",0.2207
"e785","z7982",0.3829
"e785","z79899",0.3863
"e785","z87891",0.3288
"e8319","j8403",0.2757
"e8339","e8342",0.204
"e8342","e876",0.255
"e8359","n29",0.3922
"e840","e8419",0.268
"e840","e848",0.2338
"e854","i43",0.2996
"e854","i680",0.509
"e8581","k77",0.2145
"e860","e872",0.2126
"e860","e876",0.2082
"e860","n179",0.2534
"e870","r6521",0.2165
"e871","e872",0.2369
"e871","e876",0.2538
"e871","j9601",0.2045
"e871","n179",0.2429
"e872","e875",0.2044
"e872","e876",0.2045
"e872","j9601",0.2251
"e872","n179",0.2946
"e872","z66",0.211
"e875","n186",0.2587
"e875","z992",0.2378
"e876","i10",0.2038
"e890","z85850",0.2987
"e891","z90410",0.3557
"f0280","g20",0.238
"f0280","g309",0.6834
"f1014","f10180",0.2064
"f11121","f15121",0.3508
"f1123","f1520",0.2008
"f1123","f17200",0.2328
"f1123","f332",0.31
"f1123","z590",0.2125
"f1219","f1519",0.2008
"f1310","f1610",0.2172
"f1510","z590",0.2271
"f1610","f1810",0.3794
"f17210","z20822",0.2069
"f3289","r6889",0.2704
"f329","f419",0.3663
"f329","k219",0.2016
"f332","r45851",0.3018
"f332","z62810",0.2449
"f332","z915",0.2769
"f530","o99345",0.4624
"f88","g800",0.296
"f88","r633",0.2373
"g061","m4626",0.2608
"g4440","t463x5a",0.2739
"g546","z4781",0.2843
"g5632","m21332",0.2105
"g7289","z736",0.2201
"g8191","r29810",0.2166
"g8191","r4701",0.2935
"g8194","r29810",0.2664
"g8220","n319",0.2411
"g8929","m549",0.3365
"g919","z982",0.2643
"g931","i469",0.2519
"g9341","r6521",0.2064
"g9341","z515",0.2248
"g9341","z66",0.2238
"g935","g936",0.3222
"g9601","q018",0.2556
"h01003","h01006",0.6656
"h02401","h4901",0.208
"h16002","h169",0.2142
"h35113","p0703",0.3038
"h35113","p0714",0.2184
"h35113","p0715",0.2508
"h35113","p279",0.2218
"h35113","p612",0.2435
"h47033","q044",0.2171
"h47039","q044",0.2171
"i10","i2510",0.2151
"i10","k219",0.2543
"i10","z20822",0.3281
"i10","z7982",0.2837
"i10","z79899",0.4002
"i10","z87891",0.2875
"i110","i2510",0.2083
"i110","i5022",0.2098
"i110","i5032",0.2011
