Source,Target,Weight20202
a403,j13,0.1785
a4189,j1289,0.1892
a4189,j80,0.2004
a4189,r6521,0.1797
a419,e872,0.184
a419,g9341,0.1698
a419,j189,0.1701
a419,n390,0.1562
a419,r6521,0.2407
a530,o9812,0.2857
a539,o9812,0.2606
a549,a749,0.2324
a549,o9822,0.3403
a562,o98319,0.1754
a599,o98313,0.1523
a6000,o9832,0.4238
a6009,o9832,0.2736
b003,b004,0.1576
b009,o9852,0.3052
b341,b348,0.2429
b951,o9882,0.1882
b9620,n390,0.2305
b9710,b9789,0.3621
b9710,j218,0.1716
c3490,c7931,0.1806
c44319,c44519,0.1538
c50912,z170,0.1897
c50919,z79811,0.1659
c561,c562,0.3527
c61,c7951,0.192
c7490,c7952,0.1849
c7800,c787,0.1916
c7800,c7951,0.154
c7801,c7802,0.7125
c785,c7982,0.154
c786,c787,0.1584
c786,r180,0.2566
c787,c7951,0.2451
c787,g893,0.1796
c7901,c7902,0.1886
c7931,c7951,0.1791
c7931,g936,0.1737
c7951,g893,0.2317
c7961,c7962,0.6775
c7971,c7972,0.5339
c7a1,c7b8,0.2634
c7a8,c7b8,0.3081
c7b02,c7b09,0.1756
c7b02,e340,0.1737
c7b09,e340,0.1632
c9100,d61810,0.1559
c9100,z5111,0.1829
c9201,d89811,0.1851
d120,d122,0.1507
d120,d123,0.213
d122,d123,0.2276
d122,d124,0.1591
d123,d124,0.2482
d123,d125,0.209
d124,d125,0.1704
d252,o3413,0.2252
d259,n920,0.1642
d259,o3413,0.3857
d270,d271,0.1871
d333,h9041,0.2126
d3501,d3502,0.1683
d47z1,t86298,0.1824
d593,d594,0.1561
d61810,d709,0.1861
d61810,r5081,0.3162
d61810,t451x5a,0.4588
d61818,k766,0.1559
d630,g893,0.16
d6481,t451x5a,0.2474
d6481,z5111,0.2514
d649,e871,0.1536
d649,e876,0.1563
d649,n179,0.1534
d6832,t45515a,0.3653
d684,d6959,0.159
d684,i8510,0.1593
d684,k7031,0.2657
d684,k7290,0.1773
d684,k766,0.2551
d684,k767,0.175
d6959,k766,0.1862
d709,r5081,0.45299999999999996
d821,q213,0.1505
d821,q2547,0.1587
d821,q9381,0.36
d89811,t8609,0.1635
d89811,t865,0.3759
d89813,t865,0.4606
e038,e230,0.213
e039,e785,0.2514
e039,f329,0.16899999999999998
e039,i10,0.2058
e039,i2510,0.1907
e039,k219,0.2075
e039,n179,0.1699
e039,z20828,0.1665
e039,z66,0.1551
e039,z7901,0.1677
e039,z7982,0.1923
e039,z79890,0.3996
e039,z79899,0.2065
e039,z87891,0.1962
e0580,t381x5a,0.2269
e0865,e840,0.2101
e0865,e848,0.3352
e0922,e0965,0.1562
e1010,e1043,0.1571
e1021,e10319,0.1501
e1022,e10319,0.2066
e1022,e1040,0.1536
e1022,e1042,0.2223
e1022,e1043,0.2407
e1022,e1051,0.1583
e1022,e10649,0.2153
e1022,e1065,0.3024
e10319,e1040,0.1793
e10319,e1043,0.1991
e1040,e10621,0.1768
e1042,e1043,0.1769
e1042,e1051,0.1769
e1042,e10621,0.2405
e1042,e10649,0.16
e1042,e1065,0.1911
e1042,e1069,0.1887
e1043,e10649,0.1801
e1043,e1065,0.165
e1043,k3184,0.2805
e1051,e10621,0.1873
e1052,e10621,0.172
e1052,e10628,0.1747
e1052,e1069,0.2301
e10621,e10628,0.2568
e10621,e1069,0.3379
e10628,e1069,0.2392
e10649,e1065,0.1701
e1065,z9641,0.1722
e109,o2402,0.1645
e1122,e1142,0.1744
e1122,e1151,0.1777
e1122,e1165,0.2632
e1122,e785,0.2042
e1122,e871,0.1643
e1122,e872,0.1895
e1122,e875,0.2365
e1122,i120,0.2158
e1122,i129,0.4081
e1122,i130,0.2878
e1122,i2510,0.2397
e1122,n179,0.2672
e1122,n186,0.3585
e1122,n189,0.2265
e1122,z7901,0.1517
e1122,z7902,0.1627
e1122,z794,0.3803
e1122,z7982,0.2069
e1122,z7984,0.188
e1122,z79899,0.1559
e1122,z87891,0.1505
e1122,z992,0.3261
e1139,h42,0.4539
e1142,e1151,0.1735
e1142,e11621,0.2276
e1142,e1165,0.1547
e1142,z794,0.1578
e1143,k3184,0.5318
e1151,e11621,0.1702
e1152,e11621,0.2016
e1152,e11628,0.1776
e1152,e1169,0.2377
e1152,i96,0.2939
e11621,e11628,0.2424
e11621,e1169,0.3678
e11621,l03115,0.198
e11621,l03116,0.1663
e11621,l97519,0.3893
e11621,l97529,0.3432
e11621,m869,0.1707
e11628,e1169,0.1925
e11628,l97519,0.1908
e11628,l97529,0.1896
e1165,e6601,0.1556
e1165,e785,0.1693
e1165,e871,0.1832
e1165,e872,0.1606
e1165,j1289,0.2029
e1165,j9601,0.1679
