,0,1,2,3,4,5
m4626,-5.385186,-0.049836386,5.0399256,1.6840366,-7.604513,-6.8185754
m4646,-4.967001,-0.05766298,4.6661067,1.5791093,-7.0411043,-6.301626
s82441a,-6.3935285,7.8957334,2.3848207,1.0953368,-1.2273536,-6.7149343
s82241a,-6.41249,7.924197,2.390207,1.1010506,-1.230848,-6.729145
z62811,0.22838232,2.1952825,7.138212,-3.3546205,0.3944211,-2.2089725
z62810,-0.012830886,2.128458,6.537434,-3.0267873,-0.07061519,-1.8277878
z62812,0.30614284,1.9972281,7.163056,-3.3329527,0.4645644,-2.2560403
r45851,-0.33518642,2.423484,6.246223,-2.8400285,-0.52641076,-1.5794003
z915,-0.35639563,2.4398158,6.16949,-2.7944808,-0.5350512,-1.5358602
f332,-0.16843525,2.0397882,6.576151,-3.076579,-0.77765733,-1.6363592
z590,-0.606801,3.1445272,6.329949,-2.882124,-0.63255477,-1.5269738
s52201a,3.7505672,2.4640186,8.960073,-4.7469206,-6.168688,-3.9133756
s52301a,3.727366,2.4578938,8.931654,-4.743032,-6.1417217,-3.9115148
e139,-0.99635816,-1.2685329,7.0567384,-5.662571,-0.1567517,-2.9641364
e891,-1.0682701,-1.2994821,7.4203467,-5.987417,-0.17823243,-3.082524
z90410,-1.0213181,-1.2595837,7.1355853,-5.7367268,-0.15961803,-2.9690073
e1365,-0.79360956,-1.9476577,7.2127905,-5.662532,0.21576238,-3.528725
e13649,-0.7933661,-1.7944275,6.886158,-5.394965,0.17043644,-3.304319
e1342,-0.80913335,-1.7400732,6.834778,-5.369543,0.13039471,-3.2332594
s6412xa,-2.3607886,2.796592,-1.6856488,-0.50058657,4.268677,-11.547276
s66822a,-2.3550675,2.7841623,-1.6718432,-0.5079965,4.2336345,-11.491983
s92312a,-1.4402907,3.230491,-0.10493212,-2.8369007,4.0023355,-5.9398417
s92332a,-1.5801593,3.4738176,-0.033841643,-3.0742009,4.3968897,-6.493202
s92212a,-1.3988689,3.6778238,-0.23296972,-3.4145036,4.4282107,-6.654526
s92342a,-1.6556342,3.4638343,0.0021888206,-3.0462284,4.4099035,-6.520091
s92352a,-1.5586295,3.3683727,-0.05551076,-2.9803073,4.2496524,-6.283657
s92322a,-1.6257259,3.476292,-0.02732326,-3.1007755,4.434264,-6.5074744
s92252a,-1.3497853,3.5356104,-0.24378705,-3.2376382,4.2492685,-6.3665085
c6922,-0.94388604,0.29585373,-0.028963607,-2.7606723,-10.182262,-7.0600324
c6921,-0.9521927,0.28391036,-0.03411447,-2.7511082,-10.201177,-7.045167
a419,-0.16286188,-2.5407343,0.8136947,-2.8266225,-3.2208884,-3.3918004
r6521,-0.37179175,-2.8943238,0.5774774,-3.2053716,-3.584838,-4.088451
n170,-0.44657376,-3.1403756,0.46400243,-3.4540646,-3.8523555,-4.5570054
e872,0.16875528,-2.108447,1.1352518,-2.5806484,-3.0346475,-2.707439
e871,0.002512417,-2.2347035,1.4070492,-2.4351268,-3.2209277,-2.8623254
n179,-0.13005583,-1.9182818,1.7721968,-1.870014,-2.790469,-2.2236612
z87891,-0.7457836,-1.5177836,2.4152043,-1.9759396,-2.7597842,-1.7281351
e039,-0.9681145,-1.6100367,2.579433,-1.9368887,-2.6844997,-1.797084
i10,-0.96229285,-1.6493137,2.539517,-1.7036229,-2.728597,-1.83146
e785,-0.6015172,-1.611876,2.4155836,-1.7947243,-2.6244245,-1.7655683
k219,-1.027356,-1.5395124,2.4464462,-1.654794,-2.610674,-1.6801142
f329,-1.8161887,-1.6953713,3.2819297,-1.5292609,-2.7166626,-2.0355747
z7982,-0.6786511,-1.6243186,2.354262,-1.5453275,-2.734048,-1.8896761
i2510,-0.54916537,-1.2970585,2.365426,-1.5562251,-3.066394,-1.7453315
z955,-0.8615375,-1.3248292,2.6488004,-1.6225705,-3.6519897,-2.0409417
i129,0.48348594,-1.9900953,2.17576,-1.411424,-3.3145769,-2.8585804
s3282xd,1.1478862,8.692966,7.133482,-2.881778,-3.326602,-3.4727304
s3219xd,1.1472338,8.688215,7.1289277,-2.8801818,-3.3334963,-3.491097
j189,1.0490594,-1.8403395,1.2421743,-4.081292,-2.8820987,-2.9401245
j440,1.1881433,-1.940415,1.2683396,-4.771867,-2.4461708,-3.2355094
j9621,1.1068039,-1.7289164,1.0847301,-5.4710617,-2.2037716,-3.3210611
j9622,0.8253891,-1.5363336,0.92576057,-6.180511,-2.2623167,-3.4188883
j441,1.3241094,-1.879203,1.2659353,-5.1696386,-2.2852607,-3.413067
z9981,1.463977,-1.837596,1.2536544,-5.448752,-1.90922,-3.5649364
n805,-7.4913516,3.0830765,2.8800654,0.6921597,2.0751703,-7.5493817
n803,-7.5969996,3.1228313,2.9372,0.69548875,2.1101172,-7.6523085
n801,-7.084338,2.9086723,2.7154126,0.66278684,1.9730542,-7.118158
n808,-6.8690815,2.816148,2.631878,0.6638051,1.919565,-6.9188004
m4624,6.7554884,4.5467706,7.169865,-6.21709,-4.794608,-5.284032
m4644,6.7765102,4.55429,7.195125,-6.2374315,-4.818737,-5.282423
a0839,-4.169506,3.571925,-0.19411558,-8.563573,-6.278085,-4.047104
b258,-4.152941,3.578579,-0.16686456,-8.546557,-6.2511992,-4.0651493
l02512,-2.2964785,1.6070378,7.5001903,-9.497458,-3.8783383,-2.2776244
l03012,-2.292569,1.6027005,7.476497,-9.445806,-3.8655345,-2.2971218
s60222a,4.792386,-2.5533354,-0.43782339,-5.143487,-5.3936887,-9.496086
s60221a,4.7531395,-2.523557,-0.41387078,-5.122465,-5.368925,-9.455417
i83018,-3.2310565,3.67866,-0.7405168,-0.7897886,-7.9480543,-6.1370845
l97819,-3.2324774,3.6782975,-0.7334413,-0.78886586,-7.9284434,-6.129571
l97829,-3.1727273,3.614462,-0.71427464,-0.7808966,-7.7872286,-6.0466948
i83028,-3.232505,3.6687696,-0.72374445,-0.7907341,-7.9382544,-6.1443253
s92325a,-8.5177355,-0.85210747,0.6652442,-1.8441454,-3.645459,-7.174058
s92345a,-8.790528,-0.88313955,0.671435,-1.904005,-3.7550328,-7.4112124
s92335a,-9.068698,-0.9134402,0.7113163,-1.9770924,-3.8828938,-7.6828065
d123,0.15488042,1.1151625,2.4065943,1.6770016,-7.8199787,-6.7806764
d125,0.16307323,1.0837822,2.3502321,1.6637672,-7.68066,-6.620192
d124,0.15742716,1.0840443,2.351944,1.6624784,-7.6781597,-6.6148224
d122,0.15949109,1.1143869,2.417725,1.7073765,-7.876215,-6.8027782
s76112a,-3.346949,3.2658849,4.0676537,0.25306803,-9.832511,-5.6165423
s76111a,-3.343873,3.2621171,4.067001,0.26195472,-9.824836,-5.608167
s0182xa,-0.19144955,1.0818828,1.3114281,-0.932056,-0.25252187,-2.2959104
s0102xa,-0.1620738,1.1134458,1.3641484,-0.83377504,-0.25255296,-2.3018382
h6092,-3.3908622,-0.67661977,-0.4138621,-6.9157953,-8.906972,-6.1147776
h70002,-3.3774133,-0.6806243,-0.42000374,-6.9021015,-8.907289,-6.0995307
j321,1.21094,1.7044883,3.9551442,-9.092215,-4.842127,-2.9189587
j322,1.3792652,1.9334117,4.449859,-10.231387,-5.449382,-3.2510831
j323,1.2102962,1.6980485,3.9293685,-9.045666,-4.811011,-2.8767781
i69193,2.8631334,-3.0305393,1.7442716,-3.400792,-0.2609795,-6.0294185
i69111,2.8867607,-2.8355553,1.690306,-3.1121624,-0.16442806,-5.849081
i69118,2.828207,-2.2256167,1.7655889,-2.1047359,0.18495144,-5.334335
i69192,2.9882617,-1.8349409,2.0679872,-1.3586099,0.4074925,-5.4830756
i69191,3.1521404,-1.7819078,2.2467742,-1.1764548,0.48866332,-5.7948723
i69198,3.1447995,-1.7732487,2.2419548,-1.1537536,0.5081201,-5.7422485
i69151,3.0278742,-1.8748915,2.0951328,-1.3967067,0.42385674,-5.612183
i69120,3.014914,-1.8534443,2.0875535,-1.3798207,0.4268746,-5.559777
i69122,3.134262,-1.8002079,2.2266018,-1.2195363,0.47448015,-5.7708797
i69154,3.1627467,-1.7488625,2.2907526,-1.1520475,0.49084178,-5.8191957
i69119,3.1620674,-1.7418327,2.2804525,-1.1324948,0.48886657,-5.814858
z3a17,0.47886005,7.960921,5.0236764,3.2896266,-3.6319945,-7.327839
o021,0.46734756,7.9390545,5.008886,3.260505,-3.6196184,-7.310871
d259,1.1233723,4.726234,0.8365444,2.4825788,-5.2625284,-7.4558177
o3413,1.2397604,5.161884,0.8948548,2.700176,-5.7263484,-8.136687
d252,1.214513,5.0686274,0.9105783,2.653312,-5.6466784,-8.03812
d251,1.1284289,4.6416583,0.8326221,2.456083,-5.1753287,-7.336618
r402223,-0.74081194,-0.17634957,2.0355806,-4.918278,4.006784,-5.070455
r402353,-0.61246705,-0.07104669,1.832811,-5.0064306,3.8471723,-4.9284735
r402123,-0.7617557,-0.32439762,2.0503552,-4.894085,3.919922,-5.0303392
r402343,-0.8534867,-0.63742864,2.1596127,-4.889367,3.8414285,-5.0479693
r402213,-0.8513862,-0.75768435,2.1349745,-4.905795,3.7297843,-5.0013614
r402313,-0.9905891,-1.0361494,2.2993221,-5.0368557,3.7203085,-5.1864266
r402113,-0.97242504,-0.95799077,2.2757156,-5.000106,3.7613084,-5.159678
r402133,-0.30655482,0.3031551,1.5040362,-5.1970263,3.608744,-4.678994
r402243,0.08761936,0.6759943,1.2647055,-5.976943,3.4013252,-4.780906
z66,1.2078413,-1.653803,1.2683321,-4.587503,-4.882662,-3.7300875
z515,1.3563154,-1.5866628,1.2873987,-4.970465,-5.4143443,-4.0190835
j9601,0.78818667,-1.8439766,1.1889198,-3.495381,-3.30821,-2.8653536
e860,-0.009953947,-2.1849952,1.36552,-2.3803258,-3.187099,-2.7904363
n189,0.6116515,-1.9114429,2.2916894,-1.1055721,-3.7334526,-3.1138844
e1122,0.3939389,-1.8530886,2.438272,-1.0148692,-2.6104908,-2.412547
z992,1.1861428,-2.1290157,3.1682749,-1.0586184,-2.6200156,-3.149735
d631,1.1560575,-2.0926538,3.0989156,-1.0232037,-2.6233625,-3.088421
i130,0.64769226,-1.5559049,2.5557225,-0.89782625,-4.0916333,-3.0256963
i509,0.44664946,-1.0270433,2.6845486,-1.0059249,-4.4401865,-2.7095156
i110,0.12781958,-0.76767945,2.635664,-1.1787993,-4.3621545,-2.2968009
z7902,-0.8907125,-1.3583003,2.5664573,-1.6186163,-3.525489,-2.018388
g8194,3.3644872,3.8301191,6.636201,-1.7232941,-1.679781,-3.504121
i639,3.344736,3.8117595,6.57303,-1.7017586,-1.6667789,-3.4498355
r29810,3.38531,3.838686,6.6685023,-1.7119571,-1.6866997,-3.5147135
r471,3.2967706,3.7599092,6.4911537,-1.6751901,-1.6487483,-3.400222
r4701,3.3815317,3.8973527,6.675005,-1.7308733,-1.7023907,-3.5047991
g8191,3.3696845,3.8776634,6.6632566,-1.7233654,-1.6979475,-3.5059032
l89620,-0.6154398,-3.4563928,2.517702,-9.959249,1.5669954,-7.102607
l89610,-0.5976108,-3.4785016,2.5047631,-9.995934,1.5698259,-7.122126
s066x9a,0.307025,-2.7017596,4.321708,-2.5319505,4.7921004,-9.199729
s0219xa,0.29852447,-2.7150512,4.322799,-2.5290246,4.814139,-9.187918
s020xxa,0.256146,-2.512979,3.9809752,-2.318682,4.43358,-8.448943
s065x9a,0.2979218,-2.5414627,4.033431,-2.35563,4.4791102,-8.571289
o6981x1,-0.75551116,0.5894984,1.0310882,-0.88444525,-0.58627754,-2.2949283
o6981x2,-0.7593172,0.6259459,1.1600261,-0.9879149,-0.5478323,-2.234093
m25542,1.5633688,-1.8069971,0.1613279,-0.56776124,-8.104873,-9.14516
m25541,1.5583328,-1.7965529,0.14746533,-0.566878,-8.087894,-9.1387005
e8342,-0.221325,-2.8351278,1.0216573,-2.5642385,-3.810038,-3.9139755
e876,-0.119332,-2.6302142,1.2381517,-2.5080035,-3.576826,-3.5091312
e875,1.0877203,-2.0603664,3.0431604,-1.068236,-2.5200293,-2.9579546
i120,1.1679157,-2.1388347,3.2237206,-1.1088151,-2.631222,-3.1561558
n186,1.166654,-2.1085422,3.2362442,-1.0468966,-2.6337068,-3.1556172
i132,1.3888739,-2.2027807,3.379699,-1.0684123,-2.688191,-3.3666975
l97822,-1.2498194,-0.6109306,6.1270127,1.1501744,4.7892346,-9.829341
l97812,-1.2595713,-0.58912224,6.119322,1.119367,4.746406,-9.8397665
m24542,-0.5884284,0.36629304,1.6642616,-1.4910866,-0.5496142,-2.0254076
m24541,-0.5202666,0.31287098,1.6023026,-1.4878006,-0.48483005,-2.0533094
s92322d,-3.909894,-0.8617213,3.6506367,-9.829409,-4.2505164,-3.5714068
s92342d,-3.9266331,-0.8443533,3.6591506,-9.862936,-4.266059,-3.6065278
s92352d,-3.6729248,-0.8079757,3.4353735,-9.271711,-3.9928455,-3.3674393
m24552,2.1154618,4.4887056,-0.11760465,-0.6945787,4.4270344,-11.068201
m24551,2.1153188,4.485239,-0.12888888,-0.6934729,4.4261904,-11.057835
p929,2.050797,1.560713,2.3976295,-1.8887987,2.5528493,-3.7455344
j449,1.4678105,-1.7766951,1.2558345,-5.727264,-1.8571852,-3.6283884
j9611,1.4548794,-1.771968,1.2567052,-5.7745776,-1.8655449,-3.655569
e662,0.9233582,-1.4062827,0.93359005,-6.5085773,-2.114366,-3.4836984
s61511a,-1.4905138,1.675249,-1.57968,-10.6713915,-4.089924,-5.6180406
s61512a,-1.5010374,1.672218,-1.5884575,-10.748526,-4.115408,-5.632362
r4781,3.2341244,3.7032242,6.3780913,-1.6492519,-1.6234161,-3.3431544
l89623,-6.7700644,1.2864791,5.970315,-7.4185596,-4.9157495,-2.8663888
l89613,-6.7779603,1.2859129,5.9821734,-7.430181,-4.9344363,-2.8781233
s0240ca,-3.377301,-0.4908233,1.5179827,-0.06615177,3.8703403,-8.43047
s0231xa,-3.241757,-0.66422796,1.4948399,-0.17191091,3.9001296,-8.520543
s0240da,-3.922304,0.54557073,1.7436782,0.55763954,3.7745614,-8.24618
s0232xa,-4.037072,0.7874433,1.8230492,0.7055625,3.7823198,-8.285309
s0240fa,-4.104057,0.79426384,1.8490558,0.7256164,3.8332646,-8.407407
